"Year","Header","Source","URL"
1970,"Cars.com - Official Site","www.cars.com","www.cars.com"
1970,"AutoTrader.com - Official Site","www.autotrader.com","www.autotrader.com"
1970,"Disney Cars","cars.disney.com","cars.disney.com"
1970,"Cars (2006) - IMDb","www.imdb.com","www.imdb.com/title/tt0317219"
1970,"Cars.com on the App Store","itunes.apple.com","itunes.apple.com/us/app/cars.com/id353263352?mt=8"
1970,"Cars.com – New & Used Cars - Android Apps on Google Play","play.google.com","play.google.com/.../apps/details?id=com.cars.android"
1970,"Cars: Fast as Lightning – Games on Microsoft Store","www.microsoft.com","www.microsoft.com/en-us/store/p/cars-fast-as-lightning/9..."
1970,"Edmunds.com - Official Site","www.edmunds.com","www.edmunds.com"
1970,"Cars: Coupes, Sedans - Hatchbacks | Chevrolet","www.chevrolet.com","www.chevrolet.com/car.html"
1970,"Cars (2006) | Disney Cars","cars.disney.com","cars.disney.com/cars"
1970,"Cars.com - Official Site","www.cars.com","www.cars.com"
1970,"AutoTrader.com - Official Site","www.autotrader.com","www.autotrader.com"
1970,"Disney Cars","cars.disney.com","cars.disney.com"
1970,"Cars (2006) - IMDb","www.imdb.com","www.imdb.com/title/tt0317219"
1970,"Cars.com on the App Store","itunes.apple.com","itunes.apple.com/us/app/cars.com/id353263352?mt=8"
1970,"Cars.com – New & Used Cars - Android Apps on Google Play","play.google.com","play.google.com/.../apps/details?id=com.cars.android"
1970,"Cars: Fast as Lightning – Games on Microsoft Store","www.microsoft.com","www.microsoft.com/en-us/store/p/cars-fast-as-lightning/9..."
1970,"Edmunds.com - Official Site","www.edmunds.com","www.edmunds.com"
1970,"Cars: Coupes, Sedans - Hatchbacks | Chevrolet","www.chevrolet.com","www.chevrolet.com/car.html"
1970,"Car and Driver - Official Site","www.caranddriver.com","www.caranddriver.com"
1970,"Cars.com - Official Site","www.cars.com","www.cars.com"
1970,"AutoTrader.com - Official Site","www.autotrader.com","www.autotrader.com"
1970,"Disney Cars","cars.disney.com","cars.disney.com"
1970,"Cars (2006) - IMDb","www.imdb.com","www.imdb.com/title/tt0317219"
1970,"Cars.com on the App Store","itunes.apple.com","itunes.apple.com/us/app/cars.com/id353263352?mt=8"
1970,"Cars.com – New & Used Cars - Android Apps on Google Play","play.google.com","play.google.com/.../apps/details?id=com.cars.android"
1970,"Cars: Fast as Lightning – Games on Microsoft Store","www.microsoft.com","www.microsoft.com/en-us/store/p/cars-fast-as-lightning/9..."
1970,"Edmunds.com - Official Site","www.edmunds.com","www.edmunds.com"
1970,"Cars: Coupes, Sedans - Hatchbacks | Chevrolet","www.chevrolet.com","www.chevrolet.com/car.html"
1970,"Car and Driver - Official Site","www.caranddriver.com","www.caranddriver.com"
1971,"Cars.com - Official Site","www.cars.com","www.cars.com"
1971,"AutoTrader.com - Official Site","www.autotrader.com","www.autotrader.com"
1971,"Disney Cars","cars.disney.com","cars.disney.com"
1971,"Cars (2006) - IMDb","www.imdb.com","www.imdb.com/title/tt0317219"
1971,"Cars.com on the App Store","itunes.apple.com","itunes.apple.com/us/app/cars.com/id353263352?mt=8"
1971,"Cars.com – New & Used Cars - Android Apps on Google Play","play.google.com","play.google.com/.../apps/details?id=com.cars.android"
1971,"Cars: Fast as Lightning – Games on Microsoft Store","www.microsoft.com","www.microsoft.com/en-us/store/p/cars-fast-as-lightning/9..."
1971,"Edmunds.com - Official Site","www.edmunds.com","www.edmunds.com"
1971,"Cars: Coupes, Sedans - Hatchbacks | Chevrolet","www.chevrolet.com","www.chevrolet.com/car.html"
1971,"Car and Driver - Official Site","www.caranddriver.com","www.caranddriver.com"
1971,"Cars.com - Official Site","www.cars.com","www.cars.com"
1971,"AutoTrader.com - Official Site","www.autotrader.com","www.autotrader.com"
1971,"Disney Cars","cars.disney.com","cars.disney.com"
1971,"Cars (2006) - IMDb","www.imdb.com","www.imdb.com/title/tt0317219"
1971,"Cars.com on the App Store","itunes.apple.com","itunes.apple.com/us/app/cars.com/id353263352?mt=8"
1971,"Cars.com – New & Used Cars - Android Apps on Google Play","play.google.com","play.google.com/.../apps/details?id=com.cars.android"
1971,"Cars: Fast as Lightning – Games on Microsoft Store","www.microsoft.com","www.microsoft.com/en-us/store/p/cars-fast-as-lightning/9..."
